Question,Answer
Draw the first letter in English alphabhet,A
"What is the middle letter in ""INDIA""",D
"Draw the most occurring letter in ""GOGGLY""",G
"What is the middle letter in ""RIVER""",V
Which letter comes before D ?,C
What is the second letter in English alphabet?,B
"Draw the third letter in ""HAMMER""",M
"Draw the second alphaber in ""APPLE""",P
Which letter comes before F ? ,E
Which letter comes after I ?,J
What is the last letter in English alphabet?,Z
Which letter comes after N ?,O
Draw letter that comes before S,R
"Draw the first letter in ""LION""",L
"What is the second last letter in ""KNOWN""",W
